DESTPORT;PROTOCOL;SERVICE;SERVICE
4893;TCP;RDP;1
4971;UDP;BitTorrent;1
4996;UDP;BitTorrent;1
5000;TCP;Unknown;5
5001;TCP;Targus Dataspeed;78
5015;UDP;BitTorrent;1
5033;TCP;RDP;1
5060;TCP;SIP;16
5060;UDP;SIP;22
5061;TCP;SIP;2
5063;TCP;SSH;1
5071;TCP;RDP;1
5090;TCP;Unknown;1
5090;UDP;BitTorrent;1
5100;TCP;HTTP;102
5100;TCP;Unknown;92
5114;UDP;BitTorrent;1
5122;UDP;STUN;1
5134;UDP;Unknown;1
5140;UDP;BitTorrent;1
5146;UDP;GoogleHangoutDuo;1
5177;UDP;Unknown;1
5188;UDP;BitTorrent;3
5190;UDP;BitTorrent;1
5222;TCP;Amazon;11
5222;TCP;Google;79
5222;TCP;Telegram;35
5222;TCP;Unencrypted_Jabber;190
5222;TCP;Unknown;82
5222;TCP;WhatsApp;1267
5223;TCP;Amazon;448
5223;TCP;ApplePush;303
5223;TCP;TLS;25
5223;TCP;Unknown;10
5224;TCP;Unknown;3
5228;TCP;Apple;1
5228;TCP;Google;1433
5228;TCP;GoogleServices;1364
5231;UDP;Unknown;1
5232;UDP;BitTorrent;1
5241;UDP;BitTorrent;3
5277;UDP;BitTorrent;1
5315;TCP;Unknown;1
5315;UDP;Unknown;1
5324;UDP;STUN;1
5351;TCP;RDP;2
5367;TCP;Unknown;1
5367;UDP;Signal;1
5382;TCP;RDP;1
5384;TCP;Unknown;1
5384;UDP;BitTorrent;1
5385;TCP;Unknown;3
5385;UDP;Unknown;1
5450;UDP;BitTorrent;1
5453;UDP;BitTorrent;1
5515;UDP;BitTorrent;3
5544;UDP;BitTorrent;1
5552;UDP;STUN;1
5611;TCP;Unknown;1
5611;UDP;BitTorrent;1
5618;TCP;RDP;1
5636;UDP;BitTorrent;1
5648;TCP;MsSQL-TDS;1
5648;TCP;RDP;1
5663;UDP;BitTorrent;1
5698;UDP;BitTorrent;2
